label,text
0,"Seeker post: Help. Help me. dunno I'm anymore<>  Response post: That's pretty vague, know regards specific section life? Like school work?"
0,"Seeker post: I'm done saying love want hear lie back me. feel ugly unwanted unloved<>  Response post: idk Red pill means exactly advice treating right fuck billions girls there, u feel like love leave try care accept fact girls(as well guys) lie straight face years without remorse. advice stop caring late."
0,"Seeker post: Always feel like I'm criticized mocked even alone.... anyone else experience this?<>  Response post: think social anxiety , creates paranoid feelings , unless I'm wrong that's feel"
0,"Seeker post: diet becomes fucked get depressed.. can't control grocery store I'm feeling down. Chips, cookies, soda, cake, name It. Anyone else stress eater?<>  Response post: chance think loop. Junk food make depressed. depressed probably makes eat junk food? problem too. Even random, ill probably binge feel bad later. indulge later try cheer up."
0,"Seeker post: arsed school. Can't study homework.. family bad way right I'm bad way, mentally. can't care school anymore. Feels hopeless<>  Response post: That's I'm repeating 11th grade. sucks."
0,"Seeker post: parents wont allow sick medical assistance think depression bs. Title. I'm 16, got money. do?<>  Response post: Ask school counselor resources give you. go office, ask counselor, see they've got."
1,"Seeker post: called sick work today. first time couple months feeling Shitty called jobs today. feeling burnt out, slept lot, read quite bit finally managed shower day complete waste<>  Response post: really bad? Maybe smart decision needed time read recover. kind need that's important. Hope feel better soon."
0,"Seeker post: Lost job, reason live. career over, personal relationships barely existent, friends live far away. absolutely reason live, job prospects, way afford treatment. killing soon unless miracle happens.<>  Response post: can't get job lawyer?"
1,"Seeker post: wanna jump elevated place. wanna kill myself, like really really would like jump elevated place, die do? drugs? fall somewhere far ground(like 4meters jump)? know, i'd like die gr8 life (I different lives two different countries, want kill one)<>  Response post: want jump. want die, either one. know exactly going sounds it, I'd suggest focusing parts life enjoy."
0,"Seeker post: Wrong diagnosis-ADHD vs Bipolar Depression. past 5 years I've dealt misdiagnosed. ADHD Depression diagnosed Bipolar disorder. anyone else happen? ramifications? handle actions take?<>  Response post: uncommon. Bipolar difficult diagnose. tend think constant swinging high low really low time still bipolar one high point. move forward new diagnosis work treatment coping skills. ADHD depression generally easier manage long term bipolar disorder, that's plus."
0,Seeker post: long going go for?. wish fucking knew. Fuck everyone else.<>  Response post: Expecting people stop depressed like turning light extremely stupid.
